Genus	Species	Identifier	Year	crown.mm	diam.1	diam.2	leaves	stem.biomass	leafy.biomass	leaf.area.1	leaf.area.2		
Shorea	superba	217	2004	670	4.6	4.9	20	2.96	2.4	15.51	32.36		
Shorea	superba	218	2004	622	4.2	4.3	10	1.94	0.92	33.56	17.44		
Shorea	superba	219	2004	760	4.9	4.8	11	3.11	1.44	15.22	47.3		
Shorea	superba	220	2004	760	5	5.1	17	3.7	2.62	16.76	35.56		
Shorea	superba	221	2004	555	4.1	4.2	13	1.69	1.61	17.48	42.7		
Shorea	superba	222	2004	551	4.1	4.4	9	1.86	0.78	22.02	23.15		
Shorea	superba	223	2004	622	4.1	4	16	2.09	1.76	50.35	13.19		
Shorea	superba	224	2004	645	4.5	4.1	11	2.04	1.5	24.72	33.52		
Shorea	superba	225	2004	590	3.5	3.3	7	1.52	0.81	25.87	17.72		
Shorea	superba	226	2004	450	2.9	2.6	8	0.73	0.58	15.31	13.97		
Shorea	superba	227	2004	394	2.7	2.8	7	0.51	0.42	17.98	11.44		
Shorea	superba	228	2004	420	2.6	2.7	9	0.7	0.5	11.48	11.38		
Shorea	superba	229	2004	654	4.2	4.3	6	1.91	0.67	9.8	30.54		
Shorea	superba	230	2004	623	3.3	3.5	8	1.44	1.04	43.16	15.76		
Shorea	parvistipulata	231	2004	613	5	5.4	3	3.11	1.03	58.89	88.71		
Shorea	parvistipulata	232	2004	599	4.7	5	6	2.78	1.91	36.98	75.68		
Shorea	parvistipulata	233	2004	695	6.4	5.7	10	4.6	1.77	24.42	57.38		
Shorea	parvistipulata	234	2004	695	6.5	7.8	7	4.79	3.62	111.31	123.22		
Shorea	parvistipulata	235	2004	446	4.5	4.7	6	1.61	1.46	79.13	76.96		
Shorea	parvistipulata	236	2004	431	4.8	5.1	13	1.95	2.58	36.73	66.32		
Shorea	parvistipulata	237	2004	537	4.5	4.7	10	2.18	2.88	83.4	66		
Shorea	parvistipulata	238	2004	360	4.5	4.1	7	1.34	1.76	31.21	64.74		
Shorea	parvistipulata	239	2004	495	4	4.3	4	1.78	0.87	56.16	32.8		
Shorea	parvistipulata	240	2004	441	4.8	5	5	2.43	2.33	55.99	83.13		
Shorea	parvistipulata	241	2004	489	4.9	5.1	6	2.03	1.78	49.57	73.95		
Shorea	parvistipulata	242	2004	657	5.2	5.1	8	2.43	1.57	45.05	26.07		
Shorea	parvistipulata	243	2004	325	3.4	3.3	9	0.81	1.48	25.94	47.94		
Shorea	parvistipulata	244	2004	669	4.5	4.9	7	2.4	1.94	52	57.53		
Shorea	parvistipulata	245	2004	390	4.8	5.4	7	1.62	1.37	23.25	57.1		
Shorea	parvistipulata	246	2004	609	4.4	4.2	7	2.47	1.96	84.01	63.67		
Shorea	parvistipulata	247	2004	473	5.1	5.3	8	1.86	1.98	62.66	71.24		
Shorea	parvistipulata	248	2004	455	3.9	4.1	10	1.56	1.85	51.75	31.31		
Shorea	parvistipulata	249	2004	325	4.7	4.5	7	1.32	1.31	40.99	60.05		
Shorea	parvistipulata	250	2004	240	2.8	2.9	8	0.45	0.79	29.38	22.63		
Shorea	guiso	251	2004	632	5.6	5.5	11	3.47	2.22	68.83	49.77		
Shorea	guiso	252	2004	468	4.8	5.2	8	2.01	1.56	52.32	50.98		
Shorea	guiso	253	2004	627	4.9	4.7	13	2.54	2.87	49.55	57.89		
Shorea	guiso	254	2004	471	5.5	5.4	5	1.99	0.62	31	47.19		
Shorea	guiso	255	2004	602	5.6	5.7	11	3.29	2.4	48.1	32.14		
Shorea	guiso	256	2004	525	4.2	4.3	8	1.44	1.16	34.04	43.22		
Shorea	guiso	257	2004	500	2.7	3.2	10	0.85	0.92	24.36	27.53		
Shorea	guiso	258	2004	623	4.4	4.4	11	2.32	1.89	38.28	71.48		
Shorea	guiso	259	2004	655	4.3	4.4	11	2.09	2	54.21	44.7		
Shorea	guiso	260	2004	542	4.3	4.4	13	1.85	1.97	41.47	11.28		
Shorea	guiso	261	2004	490	4.2	4.4	9	1.4	1.03	33.52	33.47		
Shorea	guiso	262	2004	635	5.5	4.5	7	2.31	1.73	67.94	54.35		
Shorea	guiso	263	2004	558	3.6	3.5	10	1.15	1.13	26.82	28.25		
Shorea	guiso	264	2004	461	3.7	3.8	12	1.23	1.51	38.88	19.21		
Shorea	guiso	265	2004	402	4.5	4.3	10	1.3	1.52	58.7	27.77		
Shorea	guiso	266	2004	552	4.8	4.9	9	2.08	1.86	45.53	54.59		
Shorea	guiso	267	2004	591	4.6	5.1	13	2.64	2.16	23.44	67.69		
Shorea	guiso	268	2004	305	2.1	2.5	9	0.27	0.39	21.66	6.86		
Shorea	guiso	269	2004	582	4	4.2	15	2	2.37	32.17	37.45		
Shorea	guiso	270	2004	320	2	2.2	9	0.3	0.53	8.59	8.64		
Shorea	oleosa	271	2004	425	5.1	5	7	1.7	1.77	35.97	77.43		
Shorea	oleosa	272	2004	514	5.1	5	5	1.8	1.16	37.39	79.51		
Shorea	oleosa	273	2004	546	5.5	5.6	8	2.49	2.23	49.36	41.15		
Shorea	oleosa	274	2004	375	6.5	6.2	4	2.81	1.82	25.67	78.33		
Shorea	oleosa	275	2004	430	5.6	6.3	6	2.77	1.82	70.71	43.08		
Shorea	oleosa	276	2004	555	5.6	5.8	5	2.35	1.54	68.39	38.84		
Shorea	oleosa	277	2004	541	6	7.4	7	3.67	1.92	60.97	39.44		
Shorea	oleosa	278	2004	374	4.8	5.2	6	1.41	1.65	45.86	82.24		
Shorea	oleosa	279	2004	535	6.3	5.7	8	3.22	3.62	83.3	80.44		
Shorea	oleosa	280	2004	513	4.7	5.4	8	1.93	2.08	42.63	53.87		
Shorea	oleosa	281	2004	499	4.1	4.6	10	1.5	1.93	61.17	56.12		
Shorea	oleosa	282	2004	503	5.2	5.3	4	2.47	1.33	76.82	66.94		
Shorea	oleosa	283	2004	532	5.7	6	6	3.53	2.47	39.66	88.75		
Shorea	oleosa	284	2004	413	4.7	5	6	1.44	1.54	52.71	55.73		
Shorea	oleosa	285	2004	391	5.8	6.4	4	2.85	0.78	78.26	41.29		
Shorea	oleosa	286	2004	493	5.5	5.2	3	2.34	0.95	38.82	84.68		
Shorea	oleosa	287	2004	372	4.9	5.2	6	1.17	1.15	55.93	28.88		
Shorea	oleosa	288	2004	293	4.7	4.8	8	1.1	1.69	30.2	29.08		
Shorea	oleosa	289	2004	295	4.2	4.9	6	1.17	1.56	47.08	70.5		
Shorea	oleosa	290	2004	287	4.4	4.5	4	1.12	1.13	36.83	74.5		
